u,v,key,osmid,highway,maxspeed,name,oneway,ref,reversed,length,geometry,lanes,access,bridge,junction,tunnel,area,width,service
2243959140,2244119344,0,214971877,residential,,,False,,False,20.5443263229788,"LINESTRING (78.5139013 17.3500966, 78.5138498 17.3499185)",,,,,,,,
3670564963,3059817294,0,275409353,residential,,,False,,True,35.180397934828584,"LINESTRING (78.6074755 17.3139431, 78.6071896 17.3141031)",,,,,,,,
1952160090,1952160070,0,184710358,residential,,,False,,False,65.50844622286714,"LINESTRING (78.5425834 17.3747432, 78.5427887 17.3747417, 78.543004 17.3747305, 78.542991 17.3745435)",,,,,,,,
316967075,316967079,0,419422416,residential,,,False,,False,51.46882902586879,"LINESTRING (78.4447039 17.3626476, 78.4443271 17.362939)",,,,,,,,
2739329261,2739329279,0,268593433,residential,,,False,,False,106.77711860005611,"LINESTRING (78.4234482 17.3622132, 78.4244197 17.3624629)",,,,,,,,
3598285981,3598286082,0,354035199,residential,,,False,,False,58.660495777269325,"LINESTRING (78.4962891 17.5158272, 78.4964132 17.5163413)",,,,,,,,
1891766933,1891718041,0,178814866,residential,,,False,,False,49.56017036771327,"LINESTRING (78.5506724 17.3754198, 78.5506317 17.3753817, 78.5503392 17.3751075)",,,,,,,,
2234500485,2234833364,0,362797235,residential,,,False,,False,20.701045948306085,"LINESTRING (78.5134226 17.4221093, 78.513613 17.42215)",,,,,,,,
2221879585,2221879606,0,826127673,residential,,road no 4,False,,True,33.66892072404683,"LINESTRING (78.5069772 17.4934062, 78.506666 17.4934661)",,,,,,,,
2859816206,2859816217,0,1354689679,residential,,,False,,False,26.666187240940868,"LINESTRING (78.4406374 17.3773744, 78.44043 17.3775098)",,,,,,,,
3598309965,2805343893,0,1189569432,residential,,,False,,False,45.06287992381549,"LINESTRING (78.5811199 17.4439532, 78.5812845 17.4443268)",,,,,,,,
7673571974,2244917262,0,1275953355,residential,,,False,,True,5.493129334609938,"LINESTRING (78.3193694 17.4330354, 78.3193691 17.4330848)",,,,,,,,
2854456245,2854456259,0,281486106,residential,,,False,,True,147.22062829303374,"LINESTRING (78.5676064 17.409421, 78.5673154 17.409436, 78.567385 17.4104798)",,,,,,,,
2240857490,2240857487,0,214568207,residential,,,False,,True,31.64862200584905,"LINESTRING (78.5605353 17.4233082, 78.5602744 17.4231702)",,,,,,,,
4283997740,4283997743,0,429282663,residential,,,False,,False,59.66197801239529,"LINESTRING (78.3490486 17.5201167, 78.3491001 17.520651)",,,,,,,,
3598311390,4278283495,0,354050710,residential,,,False,,False,38.50389437509231,"LINESTRING (78.5974843 17.4501924, 78.5974532 17.4498474)",,,,,,,,
11308959430,2155671754,0,1220439243,residential,,,False,,False,175.51617723895205,"LINESTRING (78.3734494 17.4176469, 78.3741184 17.4173205, 78.3746404 17.4171839, 78.3750016 17.4171669)",,,,,,,,
2243959984,2243959943,0,420184431,residential,,,False,,False,45.12147710576892,"LINESTRING (78.5018294 17.3547334, 78.501773 17.3543312)",,,,,,,,
2240855624,2240855622,0,355695516,residential,,,False,,True,16.04063737614757,"LINESTRING (78.5040411 17.3838601, 78.50389 17.383856)",,,,,,,,
1595281190,3598391493,0,146250736,residential,,,False,,False,42.91090755192643,"LINESTRING (78.573583 17.3763326, 78.5735925 17.3767184)",,,,,,,,
1324672033,2881685629,0,117618371,tertiary,,BN Reddy Road,False,,False,69.08071469205888,"LINESTRING (78.5661282 17.3329789, 78.5660807 17.3323593)",,,,,,,,
2221880389,2221880364,0,212322308,residential,,,False,,False,44.10130587019687,"LINESTRING (78.5022305 17.4963702, 78.5026356 17.4962806)",,,,,,,,
11807004751,3579912724,0,352236139,residential,,,False,,False,64.05850179911525,"LINESTRING (78.3991989 17.4020828, 78.3993695 17.4019734, 78.3994585 17.4019501, 78.3994823 17.401942, 78.3994948 17.4019211, 78.3995055 17.4016776)",,,,,,,,
2249764760,2249764754,0,1322527145,residential,,,False,,True,38.56200069203505,"LINESTRING (78.378535 17.4819956, 78.3783643 17.4816894)",,,,,,,,
3670021880,354242563,0,419440702,residential,,,False,,False,17.964649814933207,"LINESTRING (78.4290377 17.4347643, 78.4292049 17.4347387)",,,,,,,,
2241234121,312819975,0,214620077,residential,,,False,,True,44.6492206917597,"LINESTRING (78.5380249 17.3795524, 78.5380976 17.3791569)",,,,,,,,
2855044379,3598256305,0,281544389,residential,,,False,,True,35.699655965119874,"LINESTRING (78.5129593 17.4276392, 78.5130786 17.4279394)",,,,,,,,
3602325588,2023722858,0,191801211,residential,,,False,,True,49.965975604260414,"LINESTRING (78.4175542 17.502807, 78.4177418 17.5032192)",,,,,,,,
4198212430,3579910823,0,1459237567,residential,,,False,,True,20.72330642313341,"LINESTRING (78.4150245 17.3930263, 78.4149345 17.3931917)",,,,,,,,
2852326137,2852325932,0,1190342748,residential,,,False,,False,43.48075024214176,"LINESTRING (78.4334019 17.518493, 78.4337185 17.5187415)",,,,,,,,
