name_cleaned,highway_cleaned,length
Dr.Manmohan Singh Flyover,trunk,4175.3253373898
Dr.Manmohan Singh Flyover,trunk,4156.061517698528
Unnamed Road,residential,3501.424656737357
Unnamed Road,residential,3501.424656737357
P.V. Narasimha Rao Flyover,motorway,3220.39227035348
P.V. Narasimha Rao Flyover,motorway,3213.567498939252
P.V. Narasimha Rao Flyover,motorway,2944.5405584069485
P.V. Narasimha Rao Flyover,motorway,2933.6855186947537
Shaikpet Flyover,primary,2893.467278610525
Shaikpet Flyover,primary,2888.235407526617
Nayini Narsimha Reddy Steel Bridge,primary,2644.146808597213
Unnamed Road,residential,2622.773372120602
Unnamed Road,residential,2622.7733721206014
Nayini Narsimha Reddy Steel Bridge,primary,2446.800493768963
P.V. Narasimha Rao Flyover,motorway,2402.8278353334467
P.V. Narasimha Rao Flyover,motorway,2395.2386115554164
P.V. Narasimha Rao Flyover,motorway,1956.8059619984515
P.V. Narasimha Rao Flyover,motorway,1952.3039642339247
Unnamed Road,tertiary,1797.1949823374125
Jagathgiri Gutta,tertiary,1778.4815525764843
